SiteID,Samp_Date,AirTemperature_C
Met_Station01,2015-10-04 20:00:00.000,0.766
Met_Station01,2015-10-04 20:15:00.000,0.184
Met_Station01,2015-10-04 20:30:00.000,0.079
Met_Station01,2015-10-04 20:45:00.000,0.144
Met_Station01,2015-10-04 21:00:00.000,0.18
Met_Station01,2015-10-04 21:15:00.000,0.159
Met_Station01,2015-10-04 21:30:00.000,0.054
Met_Station01,2015-10-04 21:45:00.000,0.038
Met_Station01,2015-10-04 22:00:00.000,0.079
Met_Station01,2015-10-04 22:15:00.000,-0.104
Met_Station01,2015-10-04 22:30:00.000,-0.093
Met_Station01,2015-10-04 22:45:00.000,-0.097
Met_Station01,2015-10-04 23:00:00.000,-0.086
Met_Station01,2015-10-04 23:15:00.000,-0.273
Met_Station01,2015-10-04 23:30:00.000,-0.341
Met_Station01,2015-10-04 23:45:00.000,-0.264
Met_Station01,2015-10-05 00:00:00.000,-0.433
Met_Station01,2015-10-05 00:15:00.000,-0.469
Met_Station01,2015-10-05 00:30:00.000,-0.571
Met_Station01,2015-10-05 00:45:00.000,-0.697
Met_Station01,2015-10-05 01:00:00.000,-0.87
Met_Station01,2015-10-05 01:15:00.000,-0.626
Met_Station01,2015-10-05 01:30:00.000,-0.772
Met_Station01,2015-10-05 01:45:00.000,-0.908
Met_Station01,2015-10-05 02:00:00.000,-1.052
Met_Station01,2015-10-05 02:15:00.000,-0.978
Met_Station01,2015-10-05 02:30:00.000,-0.966
Met_Station01,2015-10-05 02:45:00.000,-1.237
Met_Station01,2015-10-05 03:00:00.000,-1.434
Met_Station01,2015-10-05 03:15:00.000,-1.506
Met_Station01,2015-10-05 03:30:00.000,-1.508
Met_Station01,2015-10-05 03:45:00.000,-1.45
Met_Station01,2015-10-05 04:00:00.000,-1.637
Met_Station01,2015-10-05 04:15:00.000,-1.84
Met_Station01,2015-10-05 04:30:00.000,-1.811
Met_Station01,2015-10-05 04:45:00.000,-1.666
Met_Station01,2015-10-05 05:00:00.000,-1.474
Met_Station01,2015-10-05 05:15:00.000,-1.463
Met_Station01,2015-10-05 05:30:00.000,-1.497
Met_Station01,2015-10-05 05:45:00.000,-1.581
Met_Station01,2015-10-05 06:00:00.000,-1.463
Met_Station01,2015-10-05 06:15:00.000,-1.235
Met_Station01,2015-10-05 06:30:00.000,-1.59
Met_Station01,2015-10-05 06:45:00.000,-1.748
Met_Station01,2015-10-05 07:00:00.000,-1.854
Met_Station01,2015-10-05 07:15:00.000,-2.025
Met_Station01,2015-10-05 07:30:00.000,-1.623
Met_Station01,2015-10-05 07:45:00.000,-0.745
Met_Station01,2015-10-05 08:00:00.000,0.885
Met_Station01,2015-10-05 08:15:00.000,2.226
Met_Station01,2015-10-05 08:30:00.000,3.891
Met_Station01,2015-10-05 08:45:00.000,5.351
Met_Station01,2015-10-05 09:00:00.000,5.914
Met_Station01,2015-10-05 09:15:00.000,6.957
Met_Station01,2015-10-05 09:30:00.000,8.73
Met_Station01,2015-10-05 09:45:00.000,10.58
Met_Station01,2015-10-05 10:00:00.000,11.07
Met_Station01,2015-10-05 10:15:00.000,10.93
Met_Station01,2015-10-05 10:30:00.000,10.76
Met_Station01,2015-10-05 10:45:00.000,10.65
Met_Station01,2015-10-05 11:00:00.000,12.68
Met_Station01,2015-10-05 11:15:00.000,13.06
Met_Station01,2015-10-05 11:30:00.000,13.1
Met_Station01,2015-10-05 11:45:00.000,13.74
Met_Station01,2015-10-05 12:00:00.000,15.08
Met_Station01,2015-10-05 12:15:00.000,14.85
Met_Station01,2015-10-05 12:30:00.000,13.35
Met_Station01,2015-10-05 12:45:00.000,14.04
Met_Station01,2015-10-05 13:00:00.000,12.6
Met_Station01,2015-10-05 13:15:00.000,11.78
Met_Station01,2015-10-05 13:30:00.000,12.15
Met_Station01,2015-10-05 13:45:00.000,12.12
Met_Station01,2015-10-05 14:00:00.000,11.71
Met_Station01,2015-10-05 14:15:00.000,12.37
Met_Station01,2015-10-05 14:30:00.000,11.32
Met_Station01,2015-10-05 14:45:00.000,10.8
Met_Station01,2015-10-05 15:00:00.000,11.03
Met_Station01,2015-10-05 15:15:00.000,10.8
Met_Station01,2015-10-05 15:30:00.000,9.73
Met_Station01,2015-10-05 15:45:00.000,7.592
Met_Station01,2015-10-05 16:00:00.000,5.581
Met_Station01,2015-10-05 16:15:00.000,5.197
Met_Station01,2015-10-05 16:30:00.000,5.463
Met_Station01,2015-10-05 16:45:00.000,5.336
Met_Station01,2015-10-05 17:00:00.000,5.335
Met_Station01,2015-10-05 17:15:00.000,5.708
Met_Station01,2015-10-05 17:30:00.000,5.734
Met_Station01,2015-10-05 17:45:00.000,5.676
Met_Station01,2015-10-05 18:00:00.000,5.553
Met_Station01,2015-10-05 18:15:00.000,5.342
Met_Station01,2015-10-05 18:30:00.000,5.017
Met_Station01,2015-10-05 18:45:00.000,4.839
Met_Station01,2015-10-05 19:00:00.000,4.537
Met_Station01,2015-10-05 19:15:00.000,4.284
Met_Station01,2015-10-05 19:30:00.000,4.061
Met_Station01,2015-10-05 19:45:00.000,3.868
Met_Station01,2015-10-05 20:00:00.000,3.828
Met_Station01,2015-10-05 20:15:00.000,3.844
Met_Station01,2015-10-05 20:30:00.000,3.658
Met_Station01,2015-10-05 20:45:00.000,3.402
Met_Station01,2015-10-05 21:00:00.000,2.921
Met_Station01,2015-10-05 21:15:00.000,2.52
Met_Station01,2015-10-05 21:30:00.000,2.251
Met_Station01,2015-10-05 21:45:00.000,1.928
Met_Station01,2015-10-05 22:00:00.000,1.627
Met_Station01,2015-10-05 22:15:00.000,1.383
Met_Station01,2015-10-05 22:30:00.000,1.473
Met_Station01,2015-10-05 22:45:00.000,1.498
Met_Station01,2015-10-05 23:00:00.000,1.259
Met_Station01,2015-10-05 23:15:00.000,1.052
Met_Station01,2015-10-05 23:30:00.000,1.013
Met_Station01,2015-10-05 23:45:00.000,1.056
Met_Station01,2015-10-06 00:00:00.000,0.959
Met_Station01,2015-10-06 00:15:00.000,0.963
Met_Station01,2015-10-06 00:30:00.000,1.359
Met_Station01,2015-10-06 00:45:00.000,1.602
Met_Station01,2015-10-06 01:00:00.000,1.638
Met_Station01,2015-10-06 01:15:00.000,1.733
Met_Station01,2015-10-06 01:30:00.000,1.792
Met_Station01,2015-10-06 01:45:00.000,1.805
Met_Station01,2015-10-06 02:00:00.000,1.589
Met_Station01,2015-10-06 02:15:00.000,1.846
Met_Station01,2015-10-06 02:30:00.000,2.117
Met_Station01,2015-10-06 02:45:00.000,2.331
Met_Station01,2015-10-06 03:00:00.000,2.631
Met_Station01,2015-10-06 03:15:00.000,2.651
Met_Station01,2015-10-06 03:30:00.000,2.69
Met_Station01,2015-10-06 03:45:00.000,2.543
Met_Station01,2015-10-06 04:00:00.000,2.437
Met_Station01,2015-10-06 04:15:00.000,2.121
Met_Station01,2015-10-06 04:30:00.000,2.071
Met_Station01,2015-10-06 04:45:00.000,2.121
Met_Station01,2015-10-06 05:00:00.000,1.812
Met_Station01,2015-10-06 05:15:00.000,1.397
Met_Station01,2015-10-06 05:30:00.000,0.875
Met_Station01,2015-10-06 05:45:00.000,0.345
Met_Station01,2015-10-06 06:00:00.000,-0.013
Met_Station01,2015-10-06 06:15:00.000,-0.048
Met_Station01,2015-10-06 06:30:00.000,0.077
Met_Station01,2015-10-06 06:45:00.000,-0.102
Met_Station01,2015-10-06 07:00:00.000,-0.083
Met_Station01,2015-10-06 07:15:00.000,-0.122
Met_Station01,2015-10-06 07:30:00.000,0.53
Met_Station01,2015-10-06 07:45:00.000,1.038
Met_Station01,2015-10-06 08:00:00.000,1.612
Met_Station01,2015-10-06 08:15:00.000,2.643
Met_Station01,2015-10-06 08:30:00.000,3.554
Met_Station01,2015-10-06 08:45:00.000,5.118
Met_Station01,2015-10-06 09:00:00.000,5.892
Met_Station01,2015-10-06 09:15:00.000,6.131
Met_Station01,2015-10-06 09:30:00.000,6.627
Met_Station01,2015-10-06 09:45:00.000,8.17
Met_Station01,2015-10-06 10:00:00.000,8.88
Met_Station01,2015-10-06 10:15:00.000,7.927
Met_Station01,2015-10-06 10:30:00.000,7.957
Met_Station01,2015-10-06 10:45:00.000,7.896
Met_Station01,2015-10-06 11:00:00.000,7.995
Met_Station01,2015-10-06 11:15:00.000,8.52
Met_Station01,2015-10-06 11:30:00.000,8.1
Met_Station01,2015-10-06 11:45:00.000,7.213
